trial,knowledge,reward,steps_in_trial,phase,steps,numerosity,reliable
41,0.16106442577030816,-1,200.0,explore,200.0,1857.7,58.4
42,0.16106442577030816,-1,200.0,explore,200.0,1883.3,59.1
43,0.16106442577030816,-1,192.5,explore,192.5,1904.2,60.1
44,0.16106442577030816,20,195.3,explore,195.3,1921.1,60.9
45,0.16806722689075632,-10,176.2,explore,176.2,1952.2,61.8
46,0.16806722689075632,-10,191.2,explore,191.2,1966.1,62.6
47,0.16806722689075632,-1,200.0,explore,200.0,1977.5,63.3
48,0.1750700280112045,-1,199.2,explore,199.2,2002.3,64.2
49,0.1750700280112045,-1,194.5,explore,194.5,2023.3,64.9
50,0.18907563025210083,-1,181.4,explore,181.4,2034.7,66.8
51,0.19607843137254902,-1,196.4,explore,196.4,2050.1,67.6
52,0.19607843137254902,-10,200.0,explore,200.0,2061.6,69.8
53,0.2170868347338936,-10,200.0,explore,200.0,2071.5,71.4
54,0.2170868347338936,-1,200.0,explore,200.0,2079.3,72.6
55,0.2170868347338936,-1,200.0,explore,200.0,2086.8,73.7
56,0.2170868347338936,-10,200.0,explore,200.0,2099.5,75.6
57,0.23109243697478993,-1,192.2,explore,192.2,2107.2,77.3
58,0.23809523809523814,-1,200.0,explore,200.0,2114.6,79.1
59,0.2521008403361345,-10,188.4,explore,188.4,2116.5,81.2
60,0.2521008403361345,-10,193.9,explore,193.9,2133.2,82.9
61,0.2521008403361345,-1,200.0,explore,200.0,2144.5,83.9
62,0.2801120448179272,-1,190.3,explore,190.3,2158.8,86.0
63,0.2871148459383754,-10,199.8,explore,199.8,2171.3,87.3
64,0.3291316526610644,-10,194.8,explore,194.8,2174.9,91.2
65,0.33613445378151263,-1,200.0,explore,200.0,2177.4,93.9
66,0.3431372549019608,-10,194.2,explore,194.2,2190.3,97.3
67,0.3501400560224089,-1,200.0,explore,200.0,2202.1,98.7
68,0.3571428571428571,-1,200.0,explore,200.0,2209.1,99.4
69,0.36414565826330536,20,197.5,explore,197.5,2211.1,101.1
70,0.37815126050420167,-1,183.4,explore,183.4,2217.4,102.9
71,0.42016806722689076,-10,200.0,explore,200.0,2223.2,106.2
72,0.4271708683473389,-10,200.0,explore,200.0,2225.8,108.6
